vendor_id,attempts,answered,recovered_amount,contact_rate,recovery_per_attempt
VND0000008,5911,1184,81024670.72999999,0.20030451700219928,13707.43879715784
VND0000002,5934,1184,81116335.59,0.19952814290529153,13669.756587462083
VND0000006,5896,1251,80239726.37,0.2121777476255088,13609.1801848711
VND0000004,5925,1175,79788545.79,0.19831223628691982,13466.421230379749
VND0000011,6072,1242,79670669.3,0.20454545454545456,13120.992967720684
VND0000001,6025,1185,78435977.69,0.1966804979253112,13018.419533609958
VND0000007,6069,1193,78753101.61,0.19657274674575712,12976.289604547701
VND0000012,6010,1178,77415866.09,0.19600665557404326,12881.175722129785
VND0000003,5964,1209,75960283.75,0.20271629778672032,12736.466088195843
VND0000009,5972,1167,75937276.64,0.19541192230408574,12715.552016075017
VND0000014,6041,1296,74618906.11,0.2145340175467638,12352.078482039396
VND0000015,6066,1215,74095989.00999999,0.20029673590504452,12214.966866139135
VND0000010,6163,1266,73271380.33,0.20541943858510467,11888.914543241928
VND0000013,5904,1200,69396514.47,0.2032520325203252,11754.152179878049
VND0000005,6048,1201,69956987.02,0.19857804232804233,11566.962139550264
