cohort_month,accounts,outstanding,recovered,recovery_rate
2024-01,1311,452753189.63,45198917.66,0.09983125176199766
2024-02,1299,455348855.31,50049713.75,0.10991509732889593
2024-03,1404,498245523.38,52285037.33,0.104938298241615
2024-04,1263,427719251.15,49109270.73,0.11481660130555477
2024-05,1287,444294870.55,48976546.87,0.11023432885770461
2024-06,1219,426758079.92,47402730.04,0.11107635044399418
2024-07,1324,465210910.4,58599338.77,0.12596295026618104
2024-08,1358,484082623.59,50168349.61,0.1036359232189477
2024-09,1326,472234852.37,44514940.55,0.09426441171504674
2024-10,1362,472000373.79,53145807.02,0.11259695960250524
2024-11,1288,451748760.27,50450808.17,0.11167890785100705
2024-12,1306,452737323.42,52826117.19,0.11668160422681503
2025-01,1332,464964025.8,51615198.8,0.11100901561404193
2025-02,1232,436934782.5,46832020.23,0.10718309025901365
2025-03,1355,475961493.15,49605995.85,0.10422270827351698
2025-04,1258,441408344.95,47584926.76,0.10780250827697906
2025-05,1273,448701755.15,51411930.15,0.11457929361745667
2025-06,1256,443734923.31,50661203.81,0.114169972090764
2025-07,1284,440927371.67,47885795.96,0.1086024570863766
2025-08,1323,467161873.16,49124385.8,0.10515495510733856
2025-09,1361,474868801.84,52078217.24,0.10966864329307316
2025-10,1325,461761568.67,51049538.82,0.11055389249269201
2025-11,1254,429475789.02,49105439.39,0.11433808527845382
