dataset,column,missing_count,missing_pct
borrowers,email,895,0.029248
borrowers,phone,614,0.020065
call_attempts,vendor_id,2400,0.02
calls,agent_id,1827,0.02
accounts,borrower_id,455,0.015167
payments,payment_reference,382,0.01498
field_visits,scheduled_at,250,0.01
borrowers,borrower_id,0,0.0
borrowers,name,0,0.0
borrowers,city,0,0.0
borrowers,created_at,0,0.0
borrowers,updated_at,0,0.0
borrowers,state,0,0.0
accounts,account_id,0,0.0
accounts,loan_type,0,0.0
accounts,principal_amount,0,0.0
accounts,outstanding_amount,0,0.0
accounts,dpd,0,0.0
accounts,risk_segment,0,0.0
accounts,status,0,0.0
accounts,opened_at,0,0.0
accounts,timezone,0,0.0
accounts,schema_version,0,0.0
agents,agent_id,0,0.0
agents,employee_code,0,0.0
agents,agent_name,0,0.0
agents,vendor_id,0,0.0
agents,team,0,0.0
agents,status,0,0.0
agents,joined_at,0,0.0
agents,updated_at,0,0.0
agent_sessions,session_id,0,0.0
agent_sessions,agent_id,0,0.0
agent_sessions,login_at,0,0.0
agent_sessions,channel,0,0.0
agent_sessions,device_id,0,0.0
agent_sessions,timezone,0,0.0
agent_sessions,logout_at,0,0.0
agent_sessions,login_at_parsed,0,0.0
agent_sessions,logout_at_parsed,0,0.0
agent_sessions,session_hours,0,0.0
agent_sessions,month,0,0.0
campaigns,campaign_id,0,0.0
campaigns,campaign_name,0,0.0
campaigns,channel,0,0.0
campaigns,strategy_version,0,0.0
campaigns,start_at,0,0.0
campaigns,target_definition,0,0.0
campaigns,end_at,0,0.0
daily_targeting,target_id,0,0.0
daily_targeting,account_id,0,0.0
daily_targeting,campaign_id,0,0.0
daily_targeting,target_date,0,0.0
daily_targeting,priority,0,0.0
daily_targeting,recommended_channel,0,0.0
daily_targeting,status,0,0.0
daily_targeting,target_date_parsed,0,0.0
daily_targeting,month,0,0.0
calls,call_id,0,0.0
calls,account_id,0,0.0
calls,borrower_id,0,0.0
calls,event_at,0,0.0
calls,campaign_id,0,0.0
calls,direction,0,0.0
calls,vendor_id,0,0.0
calls,call_status,0,0.0
calls,duration_sec,0,0.0
calls,timezone,0,0.0
calls,event_at_raw,0,0.0
calls,event_at_parsed,0,0.0
calls,timezone_raw,0,0.0
calls,event_at_utc,0,0.0
calls,event_at_local,0,0.0
calls,event_at_date_local,0,0.0
calls,event_at_hour_local,0,0.0
calls,month,0,0.0
call_attempts,attempt_id,0,0.0
call_attempts,account_id,0,0.0
call_attempts,borrower_id,0,0.0
call_attempts,event_at,0,0.0
call_attempts,call_id,0,0.0
call_attempts,agent_id,0,0.0
call_attempts,attempt_no,0,0.0
call_attempts,attempt_status,0,0.0
call_attempts,event_at_raw,0,0.0
call_attempts,event_at_parsed,0,0.0
call_attempts,timezone_raw,0,0.0
call_attempts,event_at_utc,0,0.0
call_attempts,event_at_local,0,0.0
call_attempts,event_at_date_local,0,0.0
call_attempts,event_at_hour_local,0,0.0
call_attempts,month,0,0.0
call_dispositions,disposition_id,0,0.0
call_dispositions,account_id,0,0.0
call_dispositions,borrower_id,0,0.0
call_dispositions,event_at,0,0.0
call_dispositions,call_id,0,0.0
call_dispositions,agent_id,0,0.0
call_dispositions,disposition_code,0,0.0
call_dispositions,disposition_version,0,0.0
call_dispositions,event_at_raw,0,0.0
call_dispositions,event_at_parsed,0,0.0
call_dispositions,timezone_raw,0,0.0
call_dispositions,event_at_utc,0,0.0
call_dispositions,event_at_local,0,0.0
call_dispositions,event_at_date_local,0,0.0
call_dispositions,event_at_hour_local,0,0.0
call_dispositions,month,0,0.0
whatsapp_events,whatsapp_event_id,0,0.0
whatsapp_events,account_id,0,0.0
whatsapp_events,borrower_id,0,0.0
whatsapp_events,event_at,0,0.0
whatsapp_events,message_id,0,0.0
whatsapp_events,event_type,0,0.0
whatsapp_events,template_code,0,0.0
whatsapp_events,provider_id,0,0.0
whatsapp_events,event_at_raw,0,0.0
whatsapp_events,event_at_parsed,0,0.0
whatsapp_events,timezone_raw,0,0.0
whatsapp_events,event_at_utc,0,0.0
whatsapp_events,event_at_local,0,0.0
whatsapp_events,event_at_date_local,0,0.0
whatsapp_events,event_at_hour_local,0,0.0
whatsapp_events,month,0,0.0
sms_events,sms_event_id,0,0.0
sms_events,account_id,0,0.0
sms_events,borrower_id,0,0.0
sms_events,event_at,0,0.0
sms_events,message_id,0,0.0
